bn_word	persian_word	en_transliteration
সাকী	ساقی	sāqī
প্রেম	عشق	'eshq
সোজা	آسان	āsān
পরে	ولی	valī
মুশকিলে	مشکل‌ها	moshkel-hā
বাতাস	صبا	sabā
ঘ্রাণ	بوی	būy-e
কস্তুরীর	نافه	nāfe
রক্ত	خون	khūn
দিলে	دل‌ها	del-hā
জানের	جانان	jānān
মঞ্জিলে	منزل	manzel
আয়েশ	عیش	'eysh
ফরিয়াদ	فریاد	faryād
মাজিপীর	پیر	pīr
মদ	می	mey
রাঙাও	رنگین	rangīn
রাস্তা	راه	rāh
অন্ধকার	تاریک	tārīk
রাত	شب	shab
ভয়	بیم	bīm
তরঙ্গের	موج	mowj
তীরের	ساحل‌ها	sāḥel-hā
বদনাম	بدنامی	bad-nāmī
রহস্য	راز	rāz
গোপন	نهان	nahān
হাজিরা	حضوری	ḥoẓūrī
গায়েব	غایب	ghāyeb
হাফিজ	حافظ	Ḥāfeẓ
আমাদের	ما	mā
যদি	گر	gar
দাও	بده	bedeh
তার	او	ū
থেকে	از	az
আমার	من	man
কোথায়	کجا	kojā
দিল	دل	del
করো	کن	kon
কারণ	که	ke
যাতে	تا	tā
আমরা	ما	mā
আমি	من	man
যাও	برو	boro
সাথে	با	bā
ধুলা	خاک	khāk
সেই	آن	ān
দিলের	دل	del
রূপ	حُسن	ḥosn
সুন্দর	زیبا	zībā
জান	جان	jān
হাওয়া	باد	bād
কোনো	هیچ	hīch
খোদার	خدا	khodā
মতো	چو	cho
চাও	خواهی	khwāhī
দেখো	ببین	bebīn
শেষ	آخر	ākher
মুখ	رو	rū
গোলাপ	گل	gol
দিন	روز	rūz
শরাব	شراب	sharāb
বন্ধু	یار	yār
দোস্ত	دوست	dūst
ফুল	گل	gol
পানি	آب	āb
চোখ	چشم	chashm
সকাল	صبح	sobḥ
আসো	بیا	bīyā
মাটি	خاک	khāk
পথ	راه	rāh
নাম	نام	nām
বলো	بگو	begū
শহর	شهر	shahr
দুঃখ	غم	gham
বুক	سینه	sīneh
জীবন	عمر	'omr
খবর	خبر	khabar
পাখি	مرغ	morgh
সুর	نغمه	naghme
ঘুম	خواب	khwāb
গ্লাস	جام	jām
পেয়ালা	پیاله	peyāleh
ওয়াইন	باده	bāde
বুলবুল	بلبل	bolbol
সাইপ্রেস	سرو	sarv
বাগান	چمن	chaman
গুলশান	گلشن	golshan
মসজিদ	مسجد	masjed
বার	میخانه	meykhāneh
খারাবাত	خرابات	kharābāt
মাতাল	مست	mast
তওবা	توبه	towbe
খিরকা	خرقه	kherqe
জাহেদ	زاهد	zāhed
রিন্দ	رند	rend
সুফি	صوفی	ṣūfī
দরবেশ	درویش	darvīsh
আকাশ	فلک	falak
চাঁদ	ماه	māh
সূর্য	آفتاب	āftāb
নৌকা	کشتی	keshtī
তুফান	طوفان	ṭūfān
দুয়ার	در	dar
আগুন	آتش	ātash
ঈদ	عید	'īd
রোজা	روزه	rūzeh
কেয়ামত	قیامت	qiyāmat
নূহ	نوح	Nūḥ
ইউসুফ	یوسف	Yūsuf
সোলায়মান	سلیمان	Soleymān
পর্দা	پرده	pardeh
আয়না	آیینه	āyeneh
কুয়া	چاه	chāh
তিল	خال	khāl
ভ্রু	ابرو	abru
চুল	زلف	zolf
ঠোঁট	لب	lab
নার্গিস	نرگس	narges
মোম	شمع	shamʿ
মথ	پروانه	parvāneh
পিঁপড়া	مور	mūr
খোয়াব	خواب	khwāb
দোয়া	دعا	doʿā
নসিহত	نصیحت	naṣīḥat
গরিব	غریب	gharīb
মিসকিন	مسکین	meskīn
আশিক	عاشق	'āsheq
দিলবার	دلبر	delbar
দিলদার	دلدار	deldār
কুরআন	قرآن	Qur'ān
বেহেশ্ত	بهشت	behesht
জান্নাত	جنّت	jannat
নফস	نفس	nafs
শেখ	شیخ	sheykh
কারিশমা	کرشمه	kereshmeh
দৌলত	دولت	dowlat
ভাগ্য	بخت	bakht
সমুদ্র	دریا	daryā
আকল	عقل	'aql
পাগল	دیوانه	dīvāneh
শিকল	زنجیر	zanjīr
রাজা	سلطان	soltān
শাহ	شاه	shāh
মজলিস	مجلس	majles
ফাঁদ	دام	dām
তির	تیر	tīr
কামান	کمان	kamān
গান	غزل	ghazal
মুক্তা	دُر	dorr
কলম	کِلک	kelk
কালো	سیاه	siyāh
সাদা	سفید	safīd
লাল	سرخ	sorkh
সবুজ	سبز	sabz
খোশ	خوش	khosh
সালাম	سلامت	salāmat
মাফ	معذور	maʿẓūr
তরিকত	طریقت	ṭarīqat
তকদির	تقدیر	taqdīr
বুদ্ধি	عقل	'aql
দিওয়ানা	دیوانه	dīvāneh
নজর	نظر	naẓar
ছায়া	سایه	sāye
আরশ	عرش	'arsh
গুনা	گناه	gonāh
ইমান	ایمان	īmān
দুনিয়া	دنیا	donyā
আখিরাত	عقبی	'oqbā
হারাম	حرام	ḥarām
হালাল	حلال	ḥalāl
নমাজ	نماز	namāz
ওজু	وضو	vożū
মিহরাব	محراب	meḥrāb
মিনার	منار	menār
কিবলা	قبله	qebleh
ফকির	فقیر	faqīr
খাজা	خواجه	khwāja
বাদশা	پادشاه	pādshāh
গোলাম	غلام	gholām
বান্দা	بنده	bandeh
আজাদ	آزاد	āzād
শোকর	شکر	shokr
আফসোস	افسوس	afsūs
ঘণ্টা	جرس	jaras
শিল্পী	مطرب	moṭreb
চান্‌গ	چنگ	chang
রবাব	رباب	rabāb
গজল	غزل	ghazal
বয়ত	بیت	beyt
কাফির	کافر	kāfer
মুনাফিক	منافق	monāfeq
ভণ্ড	سالوس	sālūs
জুলেখা	زلیخا	Zoleykhā
কারুন	قارون	Qārūn
জামশিদ	جم	Jam
দারা	دارا	Dārā
সিকান্দার	سکندر	Sekandar
খোরশিদ	خورشید	khorshīd
অশ্রু	اشک	ashk
কান্না	گریه	gerye
হাসি	خنده	khandeh
মিলন	وصال	veṣāl
বিরহ	فراق	ferāq
দূরত্ব	دوری	dūrī
প্রতিশ্রুতি	وعده	va'deh
সন্ধি	عهد	'ahd
পরিচিত	آشنا	āshenā
বেগানা	بیگانه	bīgāneh
খুশি	شادی	shādī
সুখ	خوشی	khoshī
কষ্ট	رنج	ranj
ধৈর্য	صبر	ṣabr
আশা	امید	omīd
নিরাশ	ناامید	nā-omīd
গর্ব	غرور	ghorūr
করুণা	لطف	loṭf
