KMBA	#	Italian	English (Mandelbaum)
আমাদের জীবনের মাঝপথে আমি	1	 Nel mezzo del cammin di nostra vita	When I had journeyed half of our life’s way,
নিজেকে পাইছিলাম গহিন অরণ্যে		 mi ritrovai per una selva oscura	I found myself within a shadowed forest,
কারণ হারায়ে গেছিল সরল পথ।		 ché la diritta via era smarrita.	for I had lost the path that does not stray.
			
হায়, সেই কথা আজ বলা কি কঠিন!	4	 Ahi quanto a dir qual era è cosa dura	Ah, it is hard to speak of what it was,
সেই বন এত ঘন বন্ধুর বর্বর		 esta selva selvaggia e aspra e forte	that savage forest, dense and difficult,
যে ভাবলেও আবার ফিরে আসে ভয়।		 che nel pensier rinova la paura!	which even in recall renews my fear:
			
স্বয়ং মৃত্যুও তিক্ত না এর চেয়ে বেশি;	7	 Tant’ è amara che poco è più morte;	so bitter—death is hardly more severe!
তবুও সেখানে ভালো যাকিছু পাইছি		 ma per trattar del ben ch’i’ vi trovai,	But to retell the good discovered there,
বলার জন্য বলব অন্য যা দেখছি।		 dirò de l’altre cose ch’i’ v’ho scorte.	I’ll also tell the other things I saw.
			
সেইখানে গেছিলাম কিভাবে জানি না,	10	 Io non so ben ridir com’ i’ v’intrai,	I cannot clearly say how I had entered
এমনই গভীর ঘুমে বিভোর ছিলাম		 tant’ era pien di sonno a quel punto	the wood; I was so full of sleep just at
যখন হারায়ে ফেলি সেই সত্য পথ।		 che la verace via abbandonai.	the point where I abandoned the true path.
			
তবে যখন এক পাহাড়ের গোড়ায়	13	 Ma poi ch’i’ fui al piè d’un colle giunto,	But when I’d reached the bottom of a hill—
পৌঁছাই, যেখানে সেই উপত্যকা শেষ		 là dove terminava quella valle	it rose along the boundary of the valley
যা আমার হৃদয় বিদ্ধ করছিল ভয়ে,		 che m’avea di paura il cor compunto,	that had harassed my heart with so much fear—
			
উপরে তাকায়ে দেখলাম তার কাঁধ	16	 guardai in alto, e vidi le sue spalle	I looked on high and saw its shoulders clothed
এখনি পরে আছে সেই গ্রহের আলো		 vestite già de’ raggi del pianeta	already by the rays of that same planet
যে সব মানুষকে সোজা রাখে সব পথে।		 che mena dritto altrui per ogne calle.	which serves to lead men straight along all roads.
			
তখন কিছুটা শান্ত হয় সেই ভয়	19	 Allor fu la paura un poco queta	At this my fear was somewhat quieted;
যা আমার হৃদয়ের হ্রদে ছিল সারা		 che nel lago del cor m’era durata	for through the night of sorrow I had spent,
রাত যা কাটাইছিলাম করুণভাবে।		 la notte ch’i’ passai con tanta pieta.	the lake within my heart felt terror present.
			
সামুদ্রিক ঝড় থেকে সৈকতে উঠার	22	 E come quei che con lena affannata	And just as he who, with exhausted breath,
পরও যে-আর্ত নাভিশ্বাসে পিছে ফিরে		 uscito fuor del pelago a la riva	having escaped from sea to shore, turns back
ভয়াল জলের দিকে আবার তাকায়		 si volge a l’acqua perigliosa e guata,	to watch the dangerous waters he has quit,
			
তার মতোই আমার পলাতক চিত্ত	25	 così l’animo mio, ch’ancor fuggiva,	so did my spirit, still a fugitive,
উল্টা ঘুরে, আরেকবার দেখে সেই পথ		 si volse a retro a rimirar lo passo	turn back to look intently at the pass
যা কোনো নশ্বরকেই জ্যান্ত ছাড়ে নাই।		 che non lasciò già mai persona viva.	that never has let any man survive.
			
শ্রান্ত শরীরটাকে কিছুটা শ্রান্তি দিয়ে	28	 Poi ch’èi posato un poco il corpo lasso,	I let my tired body rest awhile.
শূন্য গিরিপথ বেয়ে উঠা শুরু করি—		 ripresi via per la piaggia diserta,	Moving again, I tried the lonely slope—
