bn_word	persian_word	en_transliteration
সাকী	ساقی	sāqī
প্রেম	عشق	‘eshq
সোজা	آسان	āsān
পরে	ولی	valī
মুশকিলে	مشکل‌ها	moshkel-hā
বাতাস	صبا	sabā
ঘ্রাণ	بوی	būy-e
কস্তুরীর	نافه	nāfe-ī
রক্ত	خون	khūn
দিলে	دل‌ها	del-hā
জানের	جانان	jānān
মঞ্জিলে	منزل	manzel-e
আয়েশ	عیش	‘eysh
ফরিয়াদ	فریاد	faryād
মাজিপীর	پیر	pīr-e
মদ	می	mey
রাঙাও	رنگین	rangīn
রাস্তা	راه	rāh
অন্ধকার	تاریک	tārīk
রাত	شب	shab-e
ভয়	بیم	bīm-e
তরঙ্গের	موج	mowj
তীরের	ساحل‌ها	sāḥel-hā
বদনাম	بدنامی	bad-nāmī
রহস্য	راز	rāzī
গোপন	نهان	nahān
হাজিরা	حضوری	ḥoẓūrī
গায়েব	غایب	ghāyeb
হাফিজ	حافظ	Ḥāfeẓ
আমাদের	ما	mā
যদি	گر	gar
দাও	بده	bedeh
তার	او	ū
থেকে	از	az
আমার	من	man
কোথায়	کجا	kojā
দিল	دل	del
করো	کن	kon
কারণ	که	ke
যাতে	تا	tā
আমরা	ما	mā
আমি	من	man
যাও	برو	boro
সাথে	با	bā
ধুলা	خاک	khāk
সেই	آن	ān
দিলের	دل	del
রূপ	حُسن	ḥosn
সুন্দর	زیبا	zībā
জান	جان	jān
হাওয়া	باد	bād
কোনো	هیچ	hīch
খোদার	خدا	khodā
মতো	چو	cho
চাও	خواهی	khwāhī
দেখো	ببین	bebīn
শেষ	آخر	ākher
মুখ	رو	rū
গোলাপ	گل	gol
দিন	روز	rūz
শরাব	شراب	sharāb
বন্ধু	یار	yār
দোস্ত	دوست	dūst
ফুল	گل	gol
পানি	آب	āb
চোখ	چشم	cheshm
সকাল	صبح	sobḥ
আসো	بیا	bīyā
মাটি	خاک	khāk
পথ	راه	rāh
নাম	نام	nām
বলো	بگو	begū
শহর	شهر	shahr
দুঃখ	غم	gham
বুক	سینه	sīne
জীবন	عمر	omr
খবর	خبر	khabar
পাখি	مرغ	morgh
সুর	نغمه	naghme
ঘুম	خواب	khwāb
