KMBA	#	Persian	Transliteration
আসো সাকী, চালাও তোমার গ্লাস, হাতে দাও তুলে,	1	اَلا یا اَیُّهَا السّاقی اَدِرْ کَأسَاً و ناوِلْها	alā yā ayyuhā s-sāqī, adir kās-an wa nāwil-hā
প্রেম ভাবতাম সোজা, পরে পড়লাম কি মুশকিলে।		که عشق آسان نمود اوّل ولی افتاد مشکل‌ها	ke ‘eshq āsān namūd avval valī oftād moshkel-hā
তোমার চুল থেকে বাতাস বহায় কস্তুরীর ঘ্রাণ,		به بویِ نافه‌ای کآخِر صبا زان طُرّه بُگشاید	be būy-e nāfe-ī k-ākher sabā z-ān torreh bogoshāyad
সুগন্ধী চুলের পাক কি রক্ত ঝরায় কত দিলে।		ز تابِ جَعدِ مشکینش چه خون افتاد در دل‌ها	ze tāb-e ja‘d-e moshkīnash che khūn oftād dar del-hā
জানের মঞ্জিলে আর কি আয়েশ যদি ক্ষণে ক্ষণে		مرا در منزلِ جانان چه امنِ عیش، چون هر دَم	marā dar manzel-e jānān che amn-e ‘eysh, chon har dam
ঘণ্টা ফরিয়াদ করে, মাহমিল তাবু নাও তুলে।		جَرَس فریاد می‌دارد که بَربندید مَحمِل‌ها	jaras faryād mī-dārad ke barbandīd maḥmel-hā
মাজিপীর যদি বলে মদ দিয়ে রাঙাও মাদুর,		به مِی سجّاده رنگین کُن گَرَت پیرِ مُغان گوید	be mey sajjāde rangīn kon, garet pīr-e moghān gūyad
সালেক খবর রাখে কি রাস্তা ও রসম মঞ্জিলে।		که سالِک بی‌خبر نَبْوَد ز راه و رسمِ منزل‌ها	ke sālek bī-khabar nabvad ze rāh o rasmi-ye manzel-hā
অন্ধকার রাত, তরঙ্গের ভয়, কি ভয়াল ঘূর্ণি—		شبِ تاریک و بیمِ موج و گِردابی چنین هایل	shab-e tārik o bīm-e mowj o gardābī chenīn hāyel
তীরের তৃপ্ত বান্দা কি জানে আমরা আছি কি হালে?		کجا دانند حالِ ما سبک‌بارانِ ساحل‌ها؟	kojā dānand ḥāl-e mā, sabok-bārān-e sāḥel-hā?
আমার কামে আমার কর্মের হয়েছে বদনাম,		همهْ کارم ز خودکامی به بدنامی کشید آخر	hame kāram ze khod-kāmī be bad-nāmī keshīd ākher
রহস্য কি গোপন থাকে যদি ছড়ায় মাহফিলে?		نهان کِی مانَد آن رازی کَزو سازند مَحفل‌ها؟	nahān key mānad ān rāzī kaz ū sāzand maḥfel-hā?
যদি চাও তার হাজিরা, গায়েব হয়ো না, হাফিজ,		حضوری گر همی خواهی از او غایب مشو حافظ	ḥoẓūrī gar hamī-khwāhī az ū ghāyeb masho Ḥāfez
দুনিয়াকে ত্যাগ করে যেতে দাও যা চাও তা পেলে।		مَتیٰ ما تَلْقَ مَنْ تَهْویٰ دَعِ الدُّنْیا وَ اَهْمِلْها	matā mā talq man tahvā, da‘ ad-donyā wa ahmil-hā
			
কর্মের ভালো কোথায় আর কোথায় আমি খারাপ?	2	صلاحِ کار کجا و منِ خراب کجا؟	ṣalāḥ-e kār kojā o man-e ḵẖarāb kojā?
দেখো পথের তফাত, কই শুরু কই শেষ ভাব।		ببین تفاوتِ رَه کز کجاست تا به کجا	bebīn tafāwot-e rah kaz kojāst tā be kojā
ক্লান্ত আমার দিল দেখে ভণ্ডের আশ্রম খিরকা;		دلم ز صومعه بگرفت و خِرقِهٔ سالوس	delam ze ṣowmeʿe begereft o ḵẖerqe-ye sālos
মাজির মন্দির কোথায়, কোথায় ভালো শরাব?		کجاست دِیرِ مُغان و شرابِ ناب کجا؟	kojāst deyr-e moghān o sharāb-e nāb kojā?
মাতলামির সাথে ন্যায় বা তাকওয়ার কি সম্পর্ক?		چه نسبت است به‌ رِندی صَلاح و تقوا را؟	che nesbat ast be rendī ṣalāḥ o taqwā rā?
কোথায় ওয়াজের সাম আর কই সুরেলা রবাব!		سماعِ وَعظ کجا نغمهٔ رَباب کجا؟	samāʿ-e waʿẓ kojā naghme-ye rabāb kojā?
দোস্তের চেহারা থেকে দুশমনের দিল কি পায়?		ز رویِ دوست دلِ دشمنان چه دریابد؟	ze rū-ye dūst del-e doshmanān che daryābad?
কই মরা চেরাগ; কই তোমার মোম, আফতাব?		چراغِ مُرده کجا؟ شمعِ آفتاب کجا؟	cherāgh-e mordeh kojā? shamʿ-e āftāb kojā?
তোমার দুয়ারের ধুলা আমাদের চোখের কাজল,		چو کُحلِ بینشِ ما خاکِ آستانِ شماست	cho kuḥl-e bīnesh-e mā ḵẖāk-e āstān-e shomāst
তুমি ছাড়া কোথায় যাব, ফরমান করো, জনাব।		کجا رَویم بفرما ازین جناب، کجا؟	kojā ravīm befarma azīn jenāb, kojā?
দেখো না চিবুকের আপেল, তার পথে কুয়া আছে;		مَبین به سیبِ زَنَخدان که چاه در راه است	mabīn be sīb-e zanakhdān ke chāh dar rāh ast
এত জোরে কই যাও, দিল, কিসের এমন চাপ?		کجا همی‌ رَوی ای دل بدین شتاب کجا؟	kojā hamī ravi ey del bedīn shetāb kojā?
চলে গেছে! থাকার সময়ের খুশির স্মৃতি থাক;		بِشُد! که یادِ خوشش باد روزگارِ وصال	beshod! ke yād-e ḵẖoshash bād rūzgār-e veṣāl
